capstone_id,step_n,title,description
c1,1,Trigger,Task starts via API; agent runs with local or hosted LLM.
c1,2,Execute,Tools + memory; confidence and risk scored each step.
c1,3,Escalate,Below-threshold confidence opens voice flow (Twilio).
c1,4,Decide,User approves or rejects via keypad; webhook resumes graph.
c1,5,Audit,Structured logs for compliance-style reviews.
c2,1,Ingest,Chunk and embed policy docs (synthetic sample data only).
c2,2,Retrieve,Hybrid search for rules relevant to each transaction.
c2,3,Reason,LLM outputs score summary and cited rule IDs.
c2,4,Review UI,Streamlit for officers to browse flagged items.
c3,1,Search,SearXNG returns ranked URLs and snippets.
c3,2,Fetch,Optional light fetch for top hits (respect robots.txt).
c3,3,Synthesize,Local model cites sources in the response.
c3,4,Chat UI,Streamlit with history and model picker.
