phase_code,module_num,module_title,priority,content_tier,self_contained_on_page,blueprint_ref,coverage_notes
P0,1,Ollama Setup & Local Model Running,MUST DO,full,yes,Doc §3 registry — module 1 (P0),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m001.json or References tab.
P0,2,LM Studio — GUI for Local LLMs,MUST DO,full,yes,Doc §3 registry — module 2 (P0),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m002.json or References tab.
P0,3,Open WebUI — Local ChatGPT Interface,MUST DO,full,yes,Doc §3 registry — module 3 (P0),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m003.json or References tab.
P0,4,vLLM — High-Performance Inference,OPTIONAL,full,yes,Doc §3 registry — module 4 (P0),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m004.json or References tab.
P0,5,LiteLLM Routing & Load Balancing,MUST DO,full,yes,Doc §3 registry — module 5 (P0),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m005.json or References tab.
P0,6,"Free APIs: Groq, Gemini, Mistral, OpenRouter",MUST DO,full,yes,Doc §3 registry — module 6 (P0),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m006.json or References tab.
P1,7,Top 40 AI Terms & Core Concepts,MUST DO,full,yes,Doc §2 Image 4 — Top 40 AI Terms; Doc §3 module registry row 7,All 40 terms defined on-page; references optional depth only.
P1,8,How LLMs Work: Transformers & Tokenization,MUST DO,full,yes,Doc §3 registry — module 8 (P1),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m008.json or References tab.
P1,9,Embeddings & Vector Representations,MUST DO,full,yes,Doc §3 registry — module 9 (P1),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m009.json or References tab.
P1,10,"Inference, Context Windows & Cost Optimisation",MUST DO,full,yes,Doc §3 registry — module 10 (P1),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m010.json or References tab.
P1,11,Quantization & Model Efficiency,OPTIONAL,full,yes,Doc §3 registry — module 11 (P1),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m011.json or References tab.
P1,12,GPU/TPU & Compute for AI,OPTIONAL,full,yes,Doc §3 registry — module 12 (P1),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m012.json or References tab.
P1,13,"ML Paradigms: Supervised, Unsupervised, RL",MUST DO,full,yes,Doc §3 registry — module 13 (P1),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m013.json or References tab.
P1,14,Generative AI Pipeline (Input→Process→Output),MUST DO,full,yes,Doc §3 registry — module 14 (P1),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m014.json or References tab.
P2,15,Prompt Engineering Fundamentals,MUST DO,full,yes,Doc §3 registry — module 15 (P2),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m015.json or References tab.
P2,16,Chain-of-Thought (CoT) Prompting,MUST DO,full,yes,Doc §3 registry — module 16 (P2),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m016.json or References tab.
P2,17,Context Management & Context Window,MUST DO,full,yes,Doc §3 registry — module 17 (P2),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m017.json or References tab.
P2,18,Multi-Agent & Goal-Oriented Prompts,MUST DO,full,yes,Doc §3 registry — module 18 (P2),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m018.json or References tab.
P2,19,"Self-Critique, Retry Loops & Reflexion",MUST DO,full,yes,Doc §3 registry — module 19 (P2),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m019.json or References tab.
P2,20,Task Planning Prompts & Role Prompting,MUST DO,full,yes,Doc §3 registry — module 20 (P2),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m020.json or References tab.
P2,21,Prompt Chaining & Advanced Techniques,MUST DO,full,yes,Doc §3 registry — module 21 (P2),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m021.json or References tab.
P3,22,"OpenAI API Deep Dive (GPT-4, GPT-4o)",MUST DO,full,yes,Doc §3 registry — module 22 (P3),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m022.json or References tab.
P3,23,Anthropic Claude API,MUST DO,full,yes,Doc §3 registry — module 23 (P3),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m023.json or References tab.
P3,24,Google Gemini API,MUST DO,full,yes,Doc §3 registry — module 24 (P3),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m024.json or References tab.
P3,25,"Mistral & Open Source LLMs (LLaMA, DeepSeek)",MUST DO,full,yes,Doc §3 registry — module 25 (P3),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m025.json or References tab.
P3,26,API Authentication & Rate Limiting,MUST DO,full,yes,Doc §3 registry — module 26 (P3),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m026.json or References tab.
P3,27,Toolformer / Function Calling,MUST DO,full,yes,Doc §3 registry — module 27 (P3),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m027.json or References tab.
P3,28,Tool Invocation & Output Parsing,MUST DO,full,yes,Doc §3 registry — module 28 (P3),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m028.json or References tab.
P3,29,Multimodal AI (Text + Image + Audio + Video),MUST DO,full,yes,Doc §3 registry — module 29 (P3),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m029.json or References tab.
P4,30,What Are AI Agents? Autonomous vs Semi-Auto,MUST DO,full,yes,Doc §3 registry — module 30 (P4),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m030.json or References tab.
P4,31,"Agent Architectures: ReAct, CAMEL, AutoGPT",MUST DO,full,yes,Doc §3 registry — module 31 (P4),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m031.json or References tab.
P4,32,Goal Decomposition & Task Planning Algorithms,MUST DO,full,yes,Doc §3 registry — module 32 (P4),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m032.json or References tab.
P4,33,Decision-Making Policies for Agents,MUST DO,full,yes,Doc §3 registry — module 33 (P4),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m033.json or References tab.
P4,34,Action Planning Loops & Execution,MUST DO,full,yes,Doc §3 registry — module 34 (P4),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m034.json or References tab.
P4,35,Self-Reflection / Feedback Loops,MUST DO,full,yes,Doc §3 registry — module 35 (P4),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m035.json or References tab.
P4,36,Multi-Agent Collaboration Patterns,MUST DO,full,yes,Doc §3 registry — module 36 (P4),Primary learning on-page (Learn/Steps/Code); optional depth via content/modules/m036.json or References tab.
