module_num,phase_code,title,tools,priority
1,P0,Ollama Setup & Local Model Running,"Ollama, llama3, mistral",MUST DO
2,P0,LM Studio — GUI for Local LLMs,"LM Studio, GGUF models",MUST DO
3,P0,Open WebUI — Local ChatGPT Interface,"Open WebUI, Docker",MUST DO
4,P0,vLLM — High-Performance Inference,"vLLM, CUDA, Python",OPTIONAL
5,P0,LiteLLM Routing & Load Balancing,"LiteLLM, proxy server",MUST DO
6,P0,"Free APIs: Groq, Gemini, Mistral, OpenRouter","Groq API, Gemini, OpenRouter",MUST DO
7,P1,Top 40 AI Terms & Core Concepts,"Flashcards, terminology",MUST DO
8,P1,How LLMs Work: Transformers & Tokenization,"Hugging Face, tiktoken",MUST DO
9,P1,Embeddings & Vector Representations,"OpenAI Embeddings, SBERT",MUST DO
10,P1,"Inference, Context Windows & Cost Optimisation","Token counters, model APIs",MUST DO
11,P1,Quantization & Model Efficiency,"GGUF, GPTQ, bitsandbytes",OPTIONAL
12,P1,GPU/TPU & Compute for AI,"CUDA, Colab, RunPod",OPTIONAL
13,P1,"ML Paradigms: Supervised, Unsupervised, RL","scikit-learn, OpenAI Gym",MUST DO
14,P1,Generative AI Pipeline (Input→Process→Output),"OpenAI API, LangChain",MUST DO
15,P2,Prompt Engineering Fundamentals,"Claude, GPT-4, PromptPerfect",MUST DO
16,P2,Chain-of-Thought (CoT) Prompting,"GPT-4o, Claude, Gemini",MUST DO
17,P2,Context Management & Context Window,"LangChain Memory, Claude 200K",MUST DO
18,P2,Multi-Agent & Goal-Oriented Prompts,"CrewAI, AutoGen",MUST DO
19,P2,"Self-Critique, Retry Loops & Reflexion","LangGraph, custom Python",MUST DO
20,P2,Task Planning Prompts & Role Prompting,"Claude, GPT-4, Perplexity",MUST DO
21,P2,Prompt Chaining & Advanced Techniques,"LangChain, LangGraph, LCEL",MUST DO
22,P3,"OpenAI API Deep Dive (GPT-4, GPT-4o)",openai Python SDK,MUST DO
23,P3,Anthropic Claude API,anthropic Python SDK,MUST DO
24,P3,Google Gemini API,google-generativeai,MUST DO
25,P3,"Mistral & Open Source LLMs (LLaMA, DeepSeek)","Hugging Face, mistralai SDK",MUST DO
